CRD050-2_S153_L004_R1_001 CRD050-2_S153_L004_R2_001 CRD050-2_S153
CRD053-1_S154_L004_R1_001 CRD053-1_S154_L004_R2_001 CRD053-1_S154
CRD053-2_S155_L004_R1_001 CRD053-2_S155_L004_R2_001 CRD053-2_S155
CRD058-1_S368_L003_R1_001 CRD058-1_S368_L003_R2_001 CRD058-1_S368
CRD058-2_S369_L003_R1_001 CRD058-2_S369_L003_R2_001 CRD058-2_S369
CRD059-1_S370_L003_R1_001 CRD059-1_S370_L003_R2_001 CRD059-1_S370
CRD059-2_S371_L003_R1_001 CRD059-2_S371_L003_R2_001 CRD059-2_S371
CRD060-1_S156_L004_R1_001 CRD060-1_S156_L004_R2_001 CRD060-1_S156
CRD060-2_S157_L004_R1_001 CRD060-2_S157_L004_R2_001 CRD060-2_S157
CRD061-1_S372_L003_R1_001 CRD061-1_S372_L003_R2_001 CRD061-1_S372
CRD061-2_S373_L003_R1_001 CRD061-2_S373_L003_R2_001 CRD061-2_S373
CRD062-1_S158_L004_R1_001 CRD062-1_S158_L004_R2_001 CRD062-1_S158
CRD062-2_S159_L004_R1_001 CRD062-2_S159_L004_R2_001 CRD062-2_S159
CRD063-1_S374_L003_R1_001 CRD063-1_S374_L003_R2_001 CRD063-1_S374
CRD063-2_S375_L003_R1_001 CRD063-2_S375_L003_R2_001 CRD063-2_S375
CRD064-1_S376_L003_R1_001 CRD064-1_S376_L003_R2_001 CRD064-1_S376
CRD064-2_S377_L003_R1_001 CRD064-2_S377_L003_R2_001 CRD064-2_S377
CRD065-1_S160_L004_R1_001 CRD065-1_S160_L004_R2_001 CRD065-1_S160
CRD065-2_S161_L004_R1_001 CRD065-2_S161_L004_R2_001 CRD065-2_S161
CRD066-1_S162_L004_R1_001 CRD066-1_S162_L004_R2_001 CRD066-1_S162
CRD066-2_S163_L004_R1_001 CRD066-2_S163_L004_R2_001 CRD066-2_S163
CRD067-1_S378_L003_R1_001 CRD067-1_S378_L003_R2_001 CRD067-1_S378
CRD067-2_S379_L003_R1_001 CRD067-2_S379_L003_R2_001 CRD067-2_S379
CRD068-1_S164_L004_R1_001 CRD068-1_S164_L004_R2_001 CRD068-1_S164
CRD068-2_S165_L004_R1_001 CRD068-2_S165_L004_R2_001 CRD068-2_S165
CRD069-1_S221_L004_R1_001 CRD069-1_S221_L004_R2_001 CRD069-1_S221
CRD070-1_S166_L004_R1_001 CRD070-1_S166_L004_R2_001 CRD070-1_S166
